sehir_adi,analiz_baslangic_tarih,analiz_baslangic_saat,analiz_bitis_tarih,analiz_bitis_saat,sonuc
Edirne,29-01-2024,00:00,04-02-2024,23:59,0.18
Elazığ,29-01-2024,00:00,04-02-2024,23:59,0.13
Erzincan,29-01-2024,00:00,04-02-2024,23:59,0.13
Erzurum,29-01-2024,00:00,04-02-2024,23:59,0.16
Eskişehir,29-01-2024,00:00,04-02-2024,23:59,0.17
Gaziantep,29-01-2024,00:00,04-02-2024,23:59,0.2
Giresun,29-01-2024,00:00,04-02-2024,23:59,0.16
Gümüşhane,29-01-2024,00:00,04-02-2024,23:59,0.09
Hakkari,29-01-2024,00:00,04-02-2024,23:59,0.16
Hatay,29-01-2024,00:00,04-02-2024,23:59,0.25
Isparta,29-01-2024,00:00,04-02-2024,23:59,0.17
Mersin,29-01-2024,00:00,04-02-2024,23:59,0.24
İstanbul,29-01-2024,00:00,04-02-2024,23:59,0.4
İzmir,29-01-2024,00:00,04-02-2024,23:59,0.32
Kars,29-01-2024,00:00,04-02-2024,23:59,0.11
Kastamonu,29-01-2024,00:00,04-02-2024,23:59,0.11
Kayseri,29-01-2024,00:00,04-02-2024,23:59,0.15
Kırklareli,29-01-2024,00:00,04-02-2024,23:59,0.11
Kırşehir,29-01-2024,00:00,04-02-2024,23:59,0.12
Kocaeli,29-01-2024,00:00,04-02-2024,23:59,0.25
Konya,29-01-2024,00:00,04-02-2024,23:59,0.13
Kütahya,29-01-2024,00:00,04-02-2024,23:59,0.1
Malatya,29-01-2024,00:00,04-02-2024,23:59,0.15
Manisa,29-01-2024,00:00,04-02-2024,23:59,0.2
Kahramanmaraş,29-01-2024,00:00,04-02-2024,23:59,0.17
Mardin,29-01-2024,00:00,04-02-2024,23:59,0.18
Muğla,29-01-2024,00:00,04-02-2024,23:59,0.15
Muş,29-01-2024,00:00,04-02-2024,23:59,0.17
Nevşehir,29-01-2024,00:00,04-02-2024,23:59,0.15
Niğde,29-01-2024,00:00,04-02-2024,23:59,0.11
Ordu,29-01-2024,00:00,04-02-2024,23:59,0.23
Rize,29-01-2024,00:00,04-02-2024,23:59,0.13
Sakarya,29-01-2024,00:00,04-02-2024,23:59,0.2
Samsun,29-01-2024,00:00,04-02-2024,23:59,0.26
Siirt,29-01-2024,00:00,04-02-2024,23:59,0.2
Sinop,29-01-2024,00:00,04-02-2024,23:59,0.12
Sivas,29-01-2024,00:00,04-02-2024,23:59,0.11
Tekirdağ,29-01-2024,00:00,04-02-2024,23:59,0.12
Tokat,29-01-2024,00:00,04-02-2024,23:59,0.12
Trabzon,29-01-2024,00:00,04-02-2024,23:59,0.19
Tunceli,29-01-2024,00:00,04-02-2024,23:59,0.15
Şanlıurfa,29-01-2024,00:00,04-02-2024,23:59,0.16
Uşak,29-01-2024,00:00,04-02-2024,23:59,0.16
Van,29-01-2024,00:00,04-02-2024,23:59,0.19
Yozgat,29-01-2024,00:00,04-02-2024,23:59,0.06
Zonguldak,29-01-2024,00:00,04-02-2024,23:59,0.2
Aksaray,29-01-2024,00:00,04-02-2024,23:59,0.12
Bayburt,29-01-2024,00:00,04-02-2024,23:59,0.07
Karaman,29-01-2024,00:00,04-02-2024,23:59,0.13
Kırıkkale,29-01-2024,00:00,04-02-2024,23:59,0.2
Batman,29-01-2024,00:00,04-02-2024,23:59,0.18
Şırnak,29-01-2024,00:00,04-02-2024,23:59,0.16
Bartın,29-01-2024,00:00,04-02-2024,23:59,0.15
Ardahan,29-01-2024,00:00,04-02-2024,23:59,0.09
Iğdır,29-01-2024,00:00,04-02-2024,23:59,0.18
Yalova,29-01-2024,00:00,04-02-2024,23:59,0.25
Karabük,29-01-2024,00:00,04-02-2024,23:59,0.11
Kilis,29-01-2024,00:00,04-02-2024,23:59,0.16
Osmaniye,29-01-2024,00:00,04-02-2024,23:59,0.2
Düzce,29-01-2024,00:00,04-02-2024,23:59,0.16
Adana,05-02-2024,00:00,11-02-2024,23:59,0.22
Adıyaman,05-02-2024,00:00,11-02-2024,23:59,0.15
Afyonkarahisar,05-02-2024,00:00,11-02-2024,23:59,0.15
Ağrı,05-02-2024,00:00,11-02-2024,23:59,0.13
Amasya,05-02-2024,00:00,11-02-2024,23:59,0.12
Ankara,05-02-2024,00:00,11-02-2024,23:59,0.22
Antalya,05-02-2024,00:00,11-02-2024,23:59,0.2
Artvin,05-02-2024,00:00,11-02-2024,23:59,0.19
Aydın,05-02-2024,00:00,11-02-2024,23:59,0.23
Balıkesir,05-02-2024,00:00,11-02-2024,23:59,0.15
Bilecik,05-02-2024,00:00,11-02-2024,23:59,0.13
Bingöl,05-02-2024,00:00,11-02-2024,23:59,0.12
Bitlis,05-02-2024,00:00,11-02-2024,23:59,0.16
Bolu,05-02-2024,00:00,11-02-2024,23:59,0.17
Burdur,05-02-2024,00:00,11-02-2024,23:59,0.1
Bursa,05-02-2024,00:00,11-02-2024,23:59,0.33
Çanakkale,05-02-2024,00:00,11-02-2024,23:59,0.14
Çankırı,05-02-2024,00:00,11-02-2024,23:59,0.1
Çorum,05-02-2024,00:00,11-02-2024,23:59,0.11
Denizli,05-02-2024,00:00,11-02-2024,23:59,0.22
Diyarbakır,05-02-2024,00:00,11-02-2024,23:59,0.16
Edirne,05-02-2024,00:00,11-02-2024,23:59,0.18
